id	lemma	context	index	label
d001.s012.t002	sort	still , Friday feature the same sort of verbal firework that have dominate the talk for the past week .	6	['sort%1:09:00::']
d001.s012.t003	talk	still , Friday feature the same sort of verbal firework that have dominate the talk for the past week .	14	['talk%1:10:00::']
d001.s012.t004	week	still , Friday feature the same sort of verbal firework that have dominate the talk for the past week .	18	['week%1:28:02::']
d001.s013.t001	U.S.	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	0	['u.s.%1:14:00::']
d001.s013.t002	climate	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	2	['climate%1:26:00::']
d001.s013.t003	envoy	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	3	['envoy%1:18:00::']
d001.s013.t005	language	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	6	['language%1:10:03::']
d001.s013.t006	cut	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	9	['cut%1:04:05::']
d001.s013.t008	emission	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	12	['emission%1:27:00::']
d001.s013.t010	one	U.S. special climate envoy todd_stern reject language require binding cut of greenhouse-gas emission for industrialized_country compare with voluntary one by major emerging_economy if they be not fund by the developed_world .	18	['one%1:09:00::']
d001.s014.t001	move	the move signal that the Obama_administration be take a hard_line with China than bush_administration official do just two year ago .	1	['move%1:04:03::']
d001.s014.t003	hard_line	the move signal that the Obama_administration be take a hard_line with China than bush_administration official do just two year ago .	9	['hard_line%1:09:00::']
d001.s014.t004	China	the move signal that the Obama_administration be take a hard_line with China than bush_administration official do just two year ago .	11	['china%1:15:00::']
d001.s014.t005	bush_administration	the move signal that the Obama_administration be take a hard_line with China than bush_administration official do just two year ago .	13	['bush_administration%1:14:01::']
d001.s014.t006	official	the move signal that the Obama_administration be take a hard_line with China than bush_administration official do just two year ago .	14	['official%1:18:01::']
d001.s014.t007	year	the move signal that the Obama_administration be take a hard_line with China than bush_administration official do just two year ago .	18	['year%1:28:01::']
d001.s015.t001	united_states	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	1	['united_states%1:14:00::']
d001.s015.t002	deal	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	8	['deal%1:10:00::']
d001.s015.t003	developing_country	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	12	['developing_country%1:14:00::']
d001.s015.t004	action	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	17	['action%1:04:04::']
d001.s015.t005	text	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	27	['text%1:10:01::', 'text%1:10:00::']
d001.s015.t006	cut	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	36	['cut%1:04:05::']
d001.s015.t007	observer	the united_states be not go to do a deal without the major developing_country step up and take action , say Stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	42	['observer%1:18:01::']
d001.s016.t001	comment	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	3	['comment%1:10:00::']
d001.s016.t002	hour	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	5	['hour%1:28:01::']
d001.s016.t003	foreign_minister	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	9	['foreign_minister%1:18:00::']
d001.s016.t005	America	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	12	['america%1:15:00::']
d001.s016.t006	climate	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	15	['climate%1:26:00::']
d001.s016.t007	negotiator	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	16	['negotiator%1:18:00::']
d001.s016.t008	common_sense	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	21	['common_sense%1:09:00::']
d001.s016.t009	week	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	34	['week%1:28:02::']
d001.s016.t010	united_states	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	37	['united_states%1:14:00::']
d001.s016.t011	China	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	41	['china%1:15:00::']
d001.s016.t012	global_warming	Stern make his comment an hour after Chinese vice foreign_minister he_yafei say America 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help China financially to cope with global_warming .	46	['global_warming%1:22:00::']
d001.s017.t001	trajectory	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the developing_world and between the industrial_world and emerging_economy .	4	['trajectory%1:19:00::']
d001.s017.t002	world	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the developing_world and between the industrial_world and emerging_economy .	7	['world%1:17:00::']
d001.s017.t003	major_power	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the developing_world and between the industrial_world and emerging_economy .	9	['major_power%1:14:00::']
d001.s017.t004	fault_line	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the developing_world and between the industrial_world and emerging_economy .	13	['fault_line%1:15:00::']
d001.s018.t001	battle	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	2	['battle%1:04:02::']
d001.s018.t002	economy	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	9	['economy%1:14:00::']
d001.s018.t003	planet	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	13	['planet%1:17:00::']
d001.s018.t004	china	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	16	['china%1:15:00::']
d001.s018.t005	united_states	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	18	['united_states%1:14:00::']
d001.s018.t006	obligation	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	23	['obligation%1:04:00::']
d001.s018.t007	nation	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	26	['nation%1:14:00::']
d001.s018.t008	world	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	30	['world%1:17:00::']
d001.s018.t009	two_dozen	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	32	['two_dozen%1:23:00::']
d001.s018.t010	country	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	35	['country%1:14:00::']
d001.s018.t011	imperative	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	40	['imperative%1:04:00::']
d001.s018.t012	action	the current battle be as much about save individual economy as save the planet , with china and united_states feuding over their respective obligation while poor nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bold action .	44	['action%1:04:04::']
d001.s019.t001	delegate	Ricardo Ulate , a Costa Rican delegate , say it be not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for their action .	6	['delegate%1:18:00::']
d001.s019.t002	major_power	Ricardo Ulate , a Costa Rican delegate , say it be not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for their action .	15	['major_power%1:14:00::']
d001.s019.t003	cost	Ricardo Ulate , a Costa Rican delegate , say it be not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for their action .	23	['cost%1:21:00::']
d001.s019.t004	greenhouse_gas	Ricardo Ulate , a Costa Rican delegate , say it be not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for their action .	26	['greenhouse_gas%1:27:00::']
d001.s019.t005	country	Ricardo Ulate , a Costa Rican delegate , say it be not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for their action .	31	['country%1:14:00::']
d001.s019.t006	action	Ricardo Ulate , a Costa Rican delegate , say it be not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for their action .	46	['action%1:04:02::']
d001.s020.t001	game	this be clearly a game where a new economic hegemony be be develop , say Ulate , who also serve as the regional Mexico and central_america climate_change adviser for conservation_international .	4	['game%1:09:00::']
d001.s020.t002	hegemony	this be clearly a game where a new economic hegemony be be develop , say Ulate , who also serve as the regional Mexico and central_america climate_change adviser for conservation_international .	9	['hegemony%1:14:00::']
d001.s020.t003	Mexico	this be clearly a game where a new economic hegemony be be develop , say Ulate , who also serve as the regional Mexico and central_america climate_change adviser for conservation_international .	23	['mexico%1:15:00::']
d001.s020.t004	central_america	this be clearly a game where a new economic hegemony be be develop , say Ulate , who also serve as the regional Mexico and central_america climate_change adviser for conservation_international .	25	['central_america%1:14:00::']
d001.s020.t005	climate_change	this be clearly a game where a new economic hegemony be be develop , say Ulate , who also serve as the regional Mexico and central_america climate_change adviser for conservation_international .	26	['climate_change%1:22:00::']
d001.s020.t006	adviser	this be clearly a game where a new economic hegemony be be develop , say Ulate , who also serve as the regional Mexico and central_america climate_change adviser for conservation_international .	27	['adviser%1:18:00::']
d001.s021.t001	country	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	3	['country%1:14:00::']
d001.s021.t002	impact	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	8	['impact%1:19:00::']
d001.s021.t003	climate_change	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	10	['climate_change%1:22:00::']
d001.s021.t004	treaty	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	21	['treaty%1:10:00::']
d001.s021.t005	Copenhagen	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	23	['copenhagen%1:15:00::']
d001.s021.t006	participant	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	30	['participant%1:18:00::']
d001.s021.t007	talk	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	33	['talk%1:10:00::']
d001.s021.t008	deal	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally binding treaty in Copenhagen , although most of the major participant say the talk will produce a political deal at good .	38	['deal%1:10:00::']
d001.s022.t002	member	the alliance_of_small_island_states , which have @card@ member , produce a 24-page draft treaty proposal early Friday morning .	6	['member%1:14:00::']
d001.s022.t003	draft	the alliance_of_small_island_states , which have @card@ member , produce a 24-page draft treaty proposal early Friday morning .	11	['draft%1:10:00::']
